ID;Domäne;Subdomäne;Priorität;Score;Vollständigkeit;Strukturierbarkeit;Timing;Begründung;Anmerkung;Atomare_Probleme_Seed
SD-025;Chemie;Elektrochemie & Katalyse;1-Sofort;82;83;86;Jetzt / lokal;Physikalisch-chemische Grundlagen stabil;;
SD-026;Physik;Mechanik & Relativitätstheorie;1-Sofort;88;90;92;Jetzt / lokal;Olympiade-Kanon, exakt testbar;;
SD-027;Physik;Thermodynamik & Statistische Physik;1-Sofort;87;89;91;Jetzt / lokal;Klassische Gesetze, Standardprobleme vollständig;;
SD-028;Physik;Optik & Elektromagnetismus;1-Sofort;86;88;90;Jetzt / lokal;Maxwell-Gleichungen, klare Problemstruktur;;
SD-029;Physik;Festkörperphysik & Halbleiter;1-Sofort;72;76;78;Jetzt / lokal;"Gut kodifiziert; aktuelle Materialien → später";;
SD-030;Physik;Astrophysik & Kosmologie (Grundlagen);1-Sofort;77;80;82;Jetzt / lokal;Standardmodell der Kosmologie stabil;Frontier-Kosmologie → mittelfristig;
SD-031;Maschinenbau;Technische Mechanik & Statik;1-Sofort;88;90;92;Jetzt / lokal;DIN-Normen, Formelsammlungen, exakt testbar;;
SD-032;Maschinenbau;Strömungslehre & Thermodynamik (Ing.);1-Sofort;86;88;90;Jetzt / lokal;Stoff- und Energiebilanzen, VDI-Richtlinien;;
SD-033;Maschinenbau;Fertigungstechnik;1-Sofort;85;87;89;Jetzt / lokal;DIN 8580ff, klare Verfahrensklassifikation;;
SD-034;Maschinenbau;Werkstoffkunde & Werkstofftechnik;1-Sofort;85;87;90;Jetzt / lokal;Normwerkstoffe, Prüfnormen klar kodifiziert;;
SD-035;Maschinenbau;Konstruktionslehre & CAD-Grundlagen;1-Sofort;82;84;86;Jetzt / lokal;VDI 2221 als Methodenrahmen, gut strukturiert;;
SD-036;Maschinenbau;Mechatronik;1-Sofort;81;83;85;Jetzt / lokal;Schnittfeld Mechanik/Elektro/IT, gut kodifiziert;;
SD-037;Maschinenbau;Fahrzeugtechnik (Grundlagen);1-Sofort;80;82;84;Jetzt / lokal;Fahrwerk, Antrieb, Normen gut dokumentiert;Elektromobilität → mittelfristig;
SD-038;Maschinenbau;Leichtbau & Additive Fertigung;1-Sofort;78;80;82;Jetzt / lokal;DIN/ISO für AM, Faserverbund-Grundlagen stabil;;
SD-039;Maschinenbau;Energietechnik (Grundlagen);1-Sofort;80;82;84;Jetzt / lokal;Kraftwerktechnik, Thermodynamik-Anwendung stabil;Erneuerbare Energien → mittelfristig;
SD-040;Maschinenbau;Biomechanik;1-Sofort;75;78;80;Jetzt / lokal;Medizintechnik-Anwendung, gut normiert;;
SD-041;Elektrotechnik;Elektrotechnik Grundlagen (Gleich-/Wechselstrom);1-Sofort;88;90;92;Jetzt / lokal;Kirchhoff, Ohm — klassischer Lehrkanon;;
SD-042;Elektrotechnik;Leistungselektronik;1-Sofort;81;84;86;Jetzt / lokal;Umrichter, Schaltungsdesign gut dokumentiert;;
SD-043;Elektrotechnik;Mikroelektronik & Halbleitertechnik;1-Sofort;80;83;85;Jetzt / lokal;CMOS, Transistorschaltungen gut kodifiziert;;
SD-044;Elektrotechnik;Smart Grid & Energiesysteme;1-Sofort;71;76;78;Jetzt / lokal;"IEC-Normen als Grundlage; Marktdynamik → mittelfristig";;
SD-045;Medizin;ICD-11 Struktur & Kodierung;1-Sofort;89;94;96;Jetzt / lokal;ICD-11 als Envelope — besser als ICD-10 (aktiver Standard);ICD-11 bevorzugen;
SD-046;Medizin;Anatomie & Physiologie;1-Sofort;88;90;92;Jetzt / lokal;Grays Anatomy-Niveau, sehr stabiler Kanon;;
SD-047;Medizin;Pharmakologie (Grundlagen & ATC);1-Sofort;84;87;89;Jetzt / lokal;ATC-Klassifikation + Wirkmechanismen gut kodifiziert;;
SD-048;Medizin;Notfallmedizin (ATLS/ACLS-Protokolle);1-Sofort;74;82;80;Jetzt / lokal;Protokolle kodifiziert, gut generierbar;;
SD-049;Medizin;Pathophysiologie (Grundlagen);1-Sofort;78;84;83;Jetzt / lokal;Pathomechanismen gut beschreibbar;;
SD-050;Biologie;Zellbiologie & Molekularbiologie (Grundlagen);1-Sofort;83;87;88;Jetzt / lokal;"Grundlagen sehr stabil; Forschungsfront → mittelfristig";;
SD-051;Biologie;Genetik (klassisch + Mendel);1-Sofort;85;88;89;Jetzt / lokal;"Klassische Genetik klar; CRISPR/Epigenetik → mittelfristig";;
SD-052;Biologie;Mikrobiologie & Immunologie;1-Sofort;82;85;87;Jetzt / lokal;Bakteriologie, Virologie gut kodifiziert;;
SD-053;Biologie;Evolutionsbiologie;1-Sofort;81;84;86;Jetzt / lokal;"Synthetische Theorie stabil; aktuelle Phylogenetik → mittelfristig";;
SD-054;Biologie;Neurobiologie (Grundlagen);1-Sofort;72;78;79;Jetzt / lokal;"Neuronale Grundlagen stabil; aktuelle Hirnforschung → mittelfristig";;
SD-055;Betriebswirtschaft;Rechnungswesen & HGB/IFRS-Grundlagen;1-Sofort;83;86;89;Jetzt / lokal;Kodifizierte Regeln, HGB/IFRS als Konsensquelle;;
SD-056;Betriebswirtschaft;Supply-Chain-Management;1-Sofort;80;83;86;Jetzt / lokal;Standardmodelle (EOQ, ABC) vollständig abrufbar;;
SD-057;Betriebswirtschaft;Projektmanagement (PMI/PRINCE2/Scrum);1-Sofort;76;81;83;Jetzt / lokal;Zertifizierungsstandards als Kanon;;
SD-058;Betriebswirtschaft;Unternehmensführung & Strategie (Grundlagen);1-Sofort;75;79;81;Jetzt / lokal;Porter, Mintzberg als stabile Theoriebasis;;
SD-059;Geografie;Physische Geografie & Geomorphologie;1-Sofort;79;82;84;Jetzt / lokal;Klima, Relief, Böden — gut kodifiziert;;
SD-060;Geografie;Kartographie & Geoinformatik;1-Sofort;83;85;87;Jetzt / lokal;GIS-Standards (OGC), Projektion klar normiert;;
SD-061;Geografie;Wirtschaftsgeografie (Grundlagen);1-Sofort;68;73;75;Jetzt / lokal;Standorttheorie, Cluster-Konzepte stabil;;
SD-062;Geschichte;Geschichte der Medizin & Technologie;1-Sofort;69;74;76;Jetzt / lokal;Faktenreich, stabil, gut strukturierbar;;
SD-063;Geschichte;Wirtschaftsgeschichte;1-Sofort;65;71;73;Jetzt / lokal;"Gut dokumentiert; Interpretation variiert";;
SD-064;Pädagogik;Didaktik & Lerntheorien;1-Sofort;74;78;80;Jetzt / lokal;Bloom, Piaget, Konstruktivismus gut kodifiziert;;
SD-065;Pädagogik;Erwachsenenbildung & E-Learning;1-Sofort;69;74;76;Jetzt / lokal;Andragogik, SCORM-Standards, stabile Konzepte;;
SD-066;Recht;Bürgerliches Recht DE (BGB);2-Mittelfristig;64;72;74;Mittelfristig;"BGB als Konsensquelle; Kasuistik variiert stark";Rechtsräume einzeln abarbeiten;
SD-067;Recht;Strafrecht DE (StGB);2-Mittelfristig;62;70;72;Mittelfristig;"Tatbestandsmerkmale klar; Rspr. veraltet schnell";;
SD-068;Recht;Öffentliches Recht / Grundgesetz;2-Mittelfristig;60;68;70;Mittelfristig;"Verfassungstext stabil; BVerfG-Rspr. → C";;
SD-069;Recht;EU-Recht (Grundlagen & Primärrecht);2-Mittelfristig;58;67;69;Mittelfristig;"Primärrecht stabil; Sekundärrecht veraltet";;
SD-070;Recht;Datenschutzrecht (DSGVO);2-Mittelfristig;62;72;74;Mittelfristig;"Grundstruktur klar; nationale Umsetzung variiert";;
SD-071;Recht;Arbeitsrecht DE;2-Mittelfristig;59;68;70;Mittelfristig;"Kasuistikgeprägt; Einzelfälle → Experte";;
SD-072;Recht;Steuerrecht DE (Grundstruktur);2-Mittelfristig;61;70;72;Mittelfristig;"Veraltet schnell; Jahres-Snapshot-Ansatz";Versionierung nötig;
SD-073;Recht;Handels- & Gesellschaftsrecht;2-Mittelfristig;62;71;73;Mittelfristig;HGB + GmbHG als Strukturgeber;;
SD-074;Recht;Medienrecht & Urheberrecht;2-Mittelfristig;60;69;71;Mittelfristig;"UrhG stabil; Digitalrecht in Entwicklung";;
SD-075;Psychologie;Kognitive Psychologie;2-Mittelfristig;71;76;78;Mittelfristig;"Gut kodifiziert; experimentelle Details variieren";;
SD-076;Psychologie;Entwicklungspsychologie;2-Mittelfristig;69;74;76;Mittelfristig;"Piaget/Erikson stabil; aktuelle Forschung variiert";;
SD-077;Psychologie;Sozialpsychologie;2-Mittelfristig;66;72;74;Mittelfristig;"Klassiker stabil; Replikationskrise beachten";;
SD-078;Psychologie;Neuropsychologie;2-Mittelfristig;64;70;72;Mittelfristig;"DSM/ICD als Rahmen; Diagnosedetails → Experte";;
SD-079;Psychologie;Klinische Psychologie (Störungsbilder);2-Mittelfristig;57;65;67;Mittelfristig;"DSM-5 als Konsensquelle; Therapiedetails → Experte";;
SD-080;Psychologie;Arbeits- & Organisationspsychologie;2-Mittelfristig;65;70;72;Mittelfristig;"Gut kodifiziert; Praxis variiert stark";;
SD-081;Ökonomie;Mikroökonomie;2-Mittelfristig;74;78;80;Mittelfristig;Preistheorie, Spieltheorie gut formalisiert;;
SD-082;Ökonomie;Makroökonomie;2-Mittelfristig;68;74;76;Mittelfristig;Schulen-Kontroverse beachten;;
SD-083;Ökonomie;Spieltheorie;2-Mittelfristig;77;80;82;Mittelfristig;Formal definiert, Nash-Gleichgewicht testbar;;
SD-084;Ökonomie;Verhaltensökonomie;2-Mittelfristig;67;72;74;Mittelfristig;Kahneman/Thaler-Experimente stabil;;
SD-085;Ökonomie;Ökologische Ökonomie;2-Mittelfristig;57;65;67;Mittelfristig;"Konzepte konsolidieren sich; normativ aufgeladen";;
SD-086;Künstliche Intelligenz;Reinforcement Learning (Grundlagen);2-Mittelfristig;66;72;73;Mittelfristig;"Q-Learning, Policy Gradient stabil; RLHF → später";;
SD-087;Künstliche Intelligenz;Erklärbare KI (XAI);2-Mittelfristig;66;72;73;Mittelfristig;"SHAP/LIME stabil; Methoden in Entwicklung";;
SD-088;Künstliche Intelligenz;Federated Learning;2-Mittelfristig;64;70;72;Mittelfristig;"Algorithmen stabil; Privacy-Aspekte in Entwicklung";;
SD-089;Informationsethik;Algorithmic Bias & Fairness;2-Mittelfristig;60;68;69;Mittelfristig;"Konzepte klar; Metriken umstritten";;
SD-090;Informationsethik;KI-Governance & EU AI Act;2-Mittelfristig;56;65;67;Mittelfristig;"EU AI Act als Strukturgeber; Details ändern sich";;
SD-091;Informationsethik;Desinformation & Medienmanipulation;2-Mittelfristig;53;62;63;Mittelfristig;"Phänomene beschreibbar; aktuelle Fälle → C";;
SD-092;Informationsethik;Privacy by Design & Datensouveränität;2-Mittelfristig;59;66;68;Mittelfristig;"Konzepte kodifiziert; Technik in Entwicklung";;
SD-093;Maschinenbau;Elektromobilität & Antriebssysteme;2-Mittelfristig;69;74;76;Mittelfristig;"Technologie in schneller Entwicklung; Grundlagen stabil";;
SD-094;Maschinenbau;Smart Materials & Bionische Konstruktion;2-Mittelfristig;62;68;70;Mittelfristig;"Neue Werkstoffklassen; Normen in Entwicklung";;
SD-095;Maschinenbau;Computational Mechanics & Simulation;2-Mittelfristig;67;72;74;Mittelfristig;"FEM-Grundlagen stabil; Softwaredetails variieren";;
SD-096;Robotik;Humanoide & kognitive Robotik;2-Mittelfristig;57;65;67;Mittelfristig;"Grundlagen ok; aktuelle Systeme in rascher Entwicklung";;
SD-097;Robotik;Schwarmrobotik & autonome Systeme;2-Mittelfristig;56;63;65;Mittelfristig;"Algorithmen stabil; Deployment-Details variieren";;
SD-098;Ökologie;Biodiversität & Ökosystemdienste;2-Mittelfristig;66;72;74;Mittelfristig;IPBES-Framework als Strukturgeber;;
SD-099;Ökologie;Regenerative Landwirtschaft & Permakultur;2-Mittelfristig;64;70;72;Mittelfristig;"Konzepte konsolidieren sich; Praxis variiert regional";;
SD-100;Ökologie;One Health & Planetary Health;2-Mittelfristig;57;65;67;Mittelfristig;"Paradigma etabliert; Forschung in Entwicklung";;
SD-101;Klimawandel;Klimasystemforschung (IPCC-Basis);2-Mittelfristig;64;71;73;Mittelfristig;"IPCC-Berichte als Konsensquelle; aktuelle Messdaten → C";;
SD-102;Klimawandel;Tipping Points & Planetary Boundaries;2-Mittelfristig;57;65;66;Mittelfristig;"Konzepte etabliert; Schwellenwerte umstritten";;
SD-103;Kreislaufwirtschaft;Circular Economy & Cradle-to-Cradle;2-Mittelfristig;67;73;75;Mittelfristig;Ellen MacArthur Framework als Konsensquelle;;
SD-104;Kreislaufwirtschaft;Ressourceneffizienz & Green Tech;2-Mittelfristig;64;70;72;Mittelfristig;"Ingenieurwissen stabil; Marktdynamik variiert";;
SD-105;Soziologie;Organisationssoziologie;2-Mittelfristig;62;69;71;Mittelfristig;Weber, Luhmann als stabile Theoriebasis;;
SD-106;Soziologie;Soziale Ungleichheit & Schichtung;2-Mittelfristig;58;67;68;Mittelfristig;"Konzepte klar; empirische Daten veralten";;
SD-107;Soziologie;Wirtschaftssoziologie;2-Mittelfristig;61;68;70;Mittelfristig;Weber, Granovetter als Theoriebasis;;
SD-108;Soziologie;Wissenschaftssoziologie;2-Mittelfristig;59;66;68;Mittelfristig;"Merton, Latour stabil; aktuelle Debatten variieren";;
SD-109;Politikwissenschaft;Politische Theorie & Demokratietheorie;2-Mittelfristig;57;65;67;Mittelfristig;"Klassiker (Rawls, Habermas) stabil; aktuelle Politik → C";;
SD-110;Politikwissenschaft;Internationale Beziehungen (Theorie);2-Mittelfristig;53;62;64;Mittelfristig;"Realismus/Liberalismus-Theorien stabil; Tagespolitik → C";;
SD-111;Politikwissenschaft;Europäische Politik & EU-Institutionen;2-Mittelfristig;54;63;65;Mittelfristig;"Institutionenstruktur stabil; aktuelle Politik → C";;
SD-112;Philosophie;Wissenschaftstheorie (Popper, Kuhn, Feyerabend);2-Mittelfristig;64;70;72;Mittelfristig;Klassische Positionen gut dokumentiert;;
SD-113;Philosophie;Angewandte Ethik (Bioethik, Technikethik);2-Mittelfristig;51;60;62;Mittelfristig;"Prinzipien klar; Anwendung auf Fälle umstritten";;
SD-114;Philosophie;Politische Philosophie;2-Mittelfristig;54;62;64;Mittelfristig;"Klassiker stabil; aktuelle Normativität → C";;
SD-115;Finanzwesen;Investmenttheorie & Risikomanagement;2-Mittelfristig;64;72;74;Mittelfristig;"Moderne Portfoliotheorie stabil; Marktdaten → C";;
SD-116;Finanzwesen;Behavioral Finance;2-Mittelfristig;63;70;72;Mittelfristig;"Kahneman-Experimente stabil; aktuelle Märkte → C";;
SD-117;Finanzwesen;Green Finance & Impact Investing;2-Mittelfristig;59;66;68;Mittelfristig;"Konzepte konsolidieren sich; Standards in Entwicklung";;
SD-118;Marketing;Konsumentenverhalten & Neuromarketing;2-Mittelfristig;64;70;72;Mittelfristig;"Klassische Modelle stabil; digitale Plattformen variieren";;
SD-119;Marketing;Digitales Marketing & SEO/SEA;2-Mittelfristig;57;65;67;Mittelfristig;"Algorithmen ändern sich; Grundkonzepte stabil";Versionierung nötig;
SD-120;Marketing;Nachhaltigkeitsmarketing & Purpose;2-Mittelfristig;55;63;65;Mittelfristig;"Konzepte konsolidieren sich; Regulierung in Entwicklung";;
SD-121;Medientechnologie;Virtual & Augmented Reality (Grundlagen);2-Mittelfristig;65;72;73;Mittelfristig;"Technologie reift; Grundkonzepte stabil";;
SD-122;Medientechnologie;Streaming-Technologien & Codecs;2-Mittelfristig;69;74;76;Mittelfristig;Standards (H.264, AV1) gut dokumentiert;;
SD-123;Medientechnologie;Medienforensik & Deepfake-Erkennung;2-Mittelfristig;53;62;63;Mittelfristig;"Methoden in Entwicklung; Katz-Maus-Spiel";;
SD-124;Entwicklungsstudien;Entwicklungsökonomie & -politik;2-Mittelfristig;55;63;65;Mittelfristig;"UN-Ziele (SDGs) als Rahmen; Daten veralten";;
SD-125;Entwicklungsstudien;Postkoloniale Studien;2-Mittelfristig;46;55;57;Mittelfristig;"Theorien stabil; normative Debatten umstritten";;
SD-126;Zukunftsforschung;Szenario-Planung & Foresight-Methoden;2-Mittelfristig;64;70;72;Mittelfristig;"Methoden gut kodifiziert; Inhalte per Definition offen";;
SD-127;Zukunftsforschung;Technikfolgenabschätzung;2-Mittelfristig;61;68;70;Mittelfristig;"VDI/TAB-Methodiken kodifiziert; Inhalte variieren";;
SD-128;Geografie;Stadtgeografie & Urbanismus;2-Mittelfristig;62;68;70;Mittelfristig;"Konzepte stabil; aktuelle Stadtentwicklung variiert";;
SD-129;Geografie;Politische Geografie & Geopolitik (Theorie);2-Mittelfristig;52;60;62;Mittelfristig;"Klassische Raumtheorie stabil; aktuelle Konflikte → C";;
SD-130;Medizin;Onkologie (Therapieprotokolle);3-Später;37;45;50;Bessere LLM;"Protokolle ändern sich mit Studienlage; Fehler fatal";;
SD-131;Medizin;Psychiatrie & Psychotherapie (Therapie);3-Später;34;42;44;Bessere LLM;"DSM/ICD-Konflikte; subjektive Diagnosekriterien";;
SD-132;Medizin;Neurologie (aktuelle Therapien);3-Später;39;48;50;Bessere LLM;"Grundlagen ok; aktuelle Therapien → Expert-in-the-loop";;
SD-133;Medizin;Reproduktionsmedizin & Genomik (klinisch);3-Später;36;44;47;Bessere LLM;"Rasante Entwicklung; ethische + rechtliche Graubereiche";;
SD-134;Informatik;Quantum Computing;3-Später;29;35;40;Bessere LLM;"Feld zu jung; Trainingsdaten bereits veraltet";;
SD-135;Künstliche Intelligenz;KI-Alignment & Safety (Frontier);3-Später;28;35;38;Bessere LLM;"Kein Konsens; Konzepte in Entwicklung";;
SD-136;Künstliche Intelligenz;Multimodale Frontier-Modelle;3-Später;32;40;43;Bessere LLM;Wissen über eigene Architektur unzuverlässig;;
SD-137;Recht;Aktuelle Rechtsprechung (Urteile DE/EU);3-Später;27;30;45;Bessere LLM;"LLM halluziniert Aktenzeichen; täglich veraltet";;
SD-138;Recht;Internationales Privatrecht & Rechtsvergleich;3-Später;37;45;48;Bessere LLM;"Rechtsraum-Konflikte; sehr kasuistisch";;
SD-139;Recht;Strafprozessrecht (aktuelle Praxis);3-Später;35;42;48;Bessere LLM;"Verfahrensrecht kodifiziert; Praxis stark kasuistisch";;
SD-140;Politikwissenschaft;Geopolitik & aktuelle Weltpolitik;3-Später;22;28;35;Bessere LLM;"Täglich veraltet; kein stabiler Problemkanon";;
SD-141;Politikwissenschaft;Populismusforschung & aktuelle Bewegungen;3-Später;31;38;42;Bessere LLM;"Phänomene beschreibbar; Wertung hochkontrovers";;
SD-142;Ökonomie;Komplexitätsökonomie & Postwachstum;3-Später;44;52;54;Bessere LLM;Paradigma noch nicht konsolidiert;;
SD-143;Finanzwesen;Kryptowährungen & DeFi;3-Später;30;38;42;Bessere LLM;Technologie + Regulierung in schneller Entwicklung;;
SD-144;Finanzwesen;Finanzmarkt-Trading-Strategien;3-Später;30;38;42;Bessere LLM;"Keine stabilen Wahrheiten; Backtesting nicht generalisierbar";;
SD-145;Soziologie;Digitalsoziologie & Tech-Gesellschaft;3-Später;43;52;53;Bessere LLM;"Konzepte in Entwicklung; empirische Basis dünn";;
SD-146;Soziologie;Migrationssoziologie (aktuell);3-Später;37;45;48;Bessere LLM;"Theorien stabil; aktuelle Daten und Politik → C";;
SD-147;Philosophie;Philosophie des Geistes & Hard Problem;3-Später;24;30;35;Bessere LLM;Keine empirisch prüfbaren Antworten;;
SD-148;Philosophie;KI-Ethik (aktuelle Systeme);3-Später;33;40;43;Bessere LLM;"Feld zu jung; kein Konsens";;
SD-149;Informationsethik;Digitale Souveränität & Zensur (aktuell);3-Später;37;45;48;Bessere LLM;"Politisch hochkontrovers; Fakten und Wertung vermischt";;
SD-150;Zukunftsforschung;Tipping Points & Zivilisationsrisiken;3-Später;31;38;42;Bessere LLM;"Per Definition unsicher; kein stabiler Kanon";;
SD-151;Klimawandel;Klimapolitik & Klimagerechtigkeit;3-Später;34;42;45;Bessere LLM;"Wissenschaft ok; politische Wertfragen → kein Konsens";;
SD-152;Kreislaufwirtschaft;Regulierung & ESG-Standards (aktuell);3-Später;40;48;50;Bessere LLM;"Standards in rascher Entwicklung; veraltet schnell";;
SD-153;Ökozentrismus;Rechte der Natur / Earth Jurisprudence;3-Später;28;35;40;Bessere LLM;"Junges Rechtsfeld; kaum Standardisierung";;
